Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,274.899994,280.000000,274.399994,279.399994,279.399994,24531791
2021-01-04,281.850006,283.899994,277.750000,281.049988,281.049988,31450608
2021-01-05,278.049988,282.450012,277.000000,281.750000,281.750000,27393072
2021-01-06,283.000000,289.149994,281.399994,285.049988,285.049988,40765708
2021-01-07,289.000000,291.799988,287.000000,287.700012,287.700012,30546600
2021-01-08,290.100006,291.399994,285.200012,286.000000,286.000000,32543357
2021-01-11,288.000000,288.200012,279.600006,282.500000,282.500000,29703173
2021-01-12,280.000000,293.850006,277.899994,292.500000,292.500000,44307145
2021-01-13,296.000000,308.000000,294.500000,306.799988,306.799988,78042133
2021-01-14,306.700012,309.250000,303.799988,307.250000,307.250000,40123498
2021-01-15,306.799988,310.899994,301.299988,303.850006,303.850006,35307601
2021-01-18,303.500000,308.649994,292.200012,294.450012,294.450012,54969750
2021-01-19,297.649994,302.500000,296.399994,298.600006,298.600006,35803901
2021-01-20,298.799988,304.700012,296.850006,302.549988,302.549988,33759304
2021-01-21,304.000000,305.149994,291.500000,294.850006,294.850006,29995203
2021-01-22,295.500000,298.000000,282.399994,283.700012,283.700012,44440810
2021-01-25,284.500000,288.000000,277.049988,280.950012,280.950012,34034630
2021-01-27,280.200012,284.850006,272.700012,275.649994,275.649994,39211107
2021-01-28,271.899994,283.350006,269.500000,282.350006,282.350006,48717297
2021-01-29,285.600006,290.649994,279.100006,282.100006,282.100006,42300984
2021-02-01,285.100006,313.899994,282.750000,310.700012,310.700012,103414068
2021-02-02,315.000000,337.399994,315.000000,333.100006,333.100006,121434166
2021-02-03,333.750000,339.899994,325.799988,335.950012,335.950012,66420168
2021-02-04,334.399994,358.000000,331.100006,355.100006,355.100006,145203439
2021-02-05,387.000000,408.350006,385.149994,393.100006,393.100006,214955688
2021-02-08,398.000000,407.799988,394.750000,397.049988,397.049988,79389205
2021-02-09,396.750000,403.500000,389.000000,394.799988,394.799988,63869990
2021-02-10,394.049988,397.899994,388.000000,392.250000,392.250000,54163507
2021-02-11,391.799988,396.950012,388.250000,390.149994,390.149994,36392708
2021-02-12,391.000000,399.350006,385.549988,393.149994,393.149994,53589755
